Track.Name,Artist.Name,Genre,Energy,Valence,Popularity
Señorita,Shawn Mendes,canadian pop,55,75,79
China,Anuel AA,reggaeton flow,81,61,92
boyfriend (with Social House),Ariana Grande,dance pop,80,70,85
Beautiful People (feat. Khalid),Ed Sheeran,pop,65,55,86
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,65,18,94
I Don't Care (with Justin Bieber),Ed Sheeran,pop,68,84,84
Ransom,Lil Tecca,trap music,64,23,92
How Do You Sleep?,Sam Smith,pop,68,35,90
Old Town Road - Remix,Lil Nas X,country rap,62,64,87
bad guy,Billie Eilish,electropop,43,56,95
Callaita,Bad Bunny,reggaeton,62,24,93
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,71,38,86
Someone You Loved,Lewis Capaldi,pop,41,45,88
Otro Trago - Remix,Sech,panamanian pop,79,76,87
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,50,10,92
No Guidance (feat. Drake),Chris Brown,dance pop,45,14,82
LA CANCIÓN,J Balvin,latin,65,43,90
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,48,91,91
Lalala,Y2K,canadian hip hop,39,50,88
Truth Hurts,Lizzo,escape room,62,41,91
Piece Of Your Heart,MEDUZA,pop house,74,63,91
Panini,Lil Nas X,country rap,59,48,91
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,79,58,83
Soltera - Remix,Lunay,latin,78,80,91
bad guy (with Justin Bieber),Billie Eilish,electropop,45,68,89
If I Can't Have You,Shawn Mendes,canadian pop,82,87,70
Dance Monkey,Tones and I,australian pop,59,54,83
It's You,Ali Gatie,canadian hip hop,46,40,89
Con Calma,Daddy Yankee,latin,86,66,91
QUE PRETENDES,J Balvin,latin,79,94,89
Takeaway,The Chainsmokers,edm,51,36,84
7 rings,Ariana Grande,dance pop,32,33,89
HP,Maluma,reggaeton,71,68,89
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,59,18,89
Never Really Over,Katy Perry,dance pop,88,39,89
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,72,32,89
Otro Trago,Sech,panamanian pop,70,62,91
Antisocial (with Travis Scott),Ed Sheeran,pop,82,91,87
Sucker,Jonas Brothers,boy band,73,95,80
"fuck, i'm lonely",Lauv,dance pop,56,68,78
Higher Love,Kygo,edm,68,40,88
You Need To Calm Down,Taylor Swift,dance pop,68,73,90
Shallow,Lady Gaga,dance pop,39,32,87
Talk,Khalid,pop,40,35,84
Con Altura,ROSALÍA,r&b en espanol,69,75,88
One Thing Right,Marshmello,brostep,62,44,88
Te Robaré,Nicky Jam,latin,75,80,88
Happier,Marshmello,brostep,79,67,88
Call You Mine,The Chainsmokers,edm,70,50,88
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,79,61,82
